geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
226,306,ANXA3,annexin A3,6.5152e-12,0.61,0.615
227,307,ANXA4,annexin A4,1.1858e-08,0.599,0.692
228,308,ANXA5,annexin A5,3.7978e-15,0.458,0.769
231,311,ANXA11,annexin A11,4.7001e-10,0.65,0.692
236,317,APAF1,apoptotic peptidase activating factor 1,9.6242e-06,0.525,0.769
239,320,APBA1,amyloid beta precursor protein binding family A member 1,0.53701,0.743,0.346
242,323,APBB2,amyloid beta precursor protein binding family B member 2,0.065197,0.76,0.231
243,324,APC,APC regulator of WNT signaling pathway,1,0.373,0.962
244,325,APCS,"amyloid P component, serum",0.031714,0.531,0.808
245,326,AIRE,autoimmune regulator,4.0468e-12,0.516,0.808
247,328,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,1.9191e-07,0.458,0.846
249,330,BIRC3,baculoviral IAP repeat containing 3,0.065597,0.491,0.769
250,331,XIAP,X-linked inhibitor of apoptosis,0.91837,0.447,0.808
251,332,BIRC5,baculoviral IAP repeat containing 5,0.055854,0.495,0.731
253,334,APLP2,amyloid beta precursor like protein 2,0.37966,0.659,0.462
254,335,APOA1,apolipoprotein A1,0.00054909,0.429,0.885
255,336,APOA2,apolipoprotein A2,0.0448,0.582,0.769
256,337,APOA4,apolipoprotein A4,5.4536e-06,0.582,0.577
257,338,APOB,apolipoprotein B,1.9234e-16,0.453,0.808
259,341,APOC1,apolipoprotein C1,0.21685,0.581,0.577
260,342,APOC1P1,apolipoprotein C1 pseudogene 1,,0.89,0.154
262,344,APOC2,apolipoprotein C2,0.40164,0.606,0.577
263,345,APOC3,apolipoprotein C3,0.010024,0.531,0.731
264,346,APOC4,apolipoprotein C4,8.893e-08,0.743,0.385
265,347,APOD,apolipoprotein D,0.00054449,0.584,0.577
266,348,APOE,apolipoprotein E,0.0018685,0.338,0.962
267,350,APOH,apolipoprotein H,1.5614e-15,0.563,0.769
268,351,APP,amyloid beta precursor protein,0.046544,0.422,0.846
270,354,KLK3,kallikrein related peptidase 3,4.4271e-06,0.443,0.885
271,355,FAS,Fas cell surface death receptor,0.8117,0.372,0.923
272,356,FASLG,Fas ligand,0.18345,0.43,0.885
274,358,AQP1,aquaporin 1 (Colton blood group),2.5697e-07,0.467,0.885
275,359,AQP2,aquaporin 2,2.4855e-06,0.581,0.769
276,360,AQP3,aquaporin 3 (Gill blood group),0.13398,0.546,0.769
277,361,AQP4,aquaporin 4,0.0022919,0.456,0.885
280,364,AQP7,aquaporin 7,4.0504e-16,0.67,0.462
282,367,AR,androgen receptor,0.98837,0.351,0.846
283,368,ABCC6,ATP binding cassette subfamily C member 6,5.6167e-35,0.54,0.654
284,369,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",0.96322,0.619,0.654
285,372,ARCN1,archain 1,0.99997,0.705,0.462
287,374,AREG,amphiregulin,0.35407,0.487,0.769
288,375,ARF1,ADP ribosylation factor 1,0.89967,0.626,0.615
294,383,ARG1,arginase 1,0.00035944,0.476,0.846
295,384,ARG2,arginase 2,0.00018207,0.569,0.731
296,387,RHOA,ras homolog family member A,0.60405,0.502,0.808
297,388,RHOB,ras homolog family member B,0.12253,0.653,0.423
300,391,RHOG,ras homolog family member G,0.42952,0.89,0.192
306,397,ARHGDIB,Rho GDP dissociation inhibitor beta,0.0006377,0.633,0.654
310,401,PHOX2A,paired like homeobox 2A,0.49018,0.7,0.346
312,403,ARL3,ADP ribosylation factor like GTPase 3,0.0014071,0.603,0.615
313,405,ARNT,aryl hydrocarbon receptor nuclear translocator,0.99581,0.575,0.692
314,406,ARNTL,aryl hydrocarbon receptor nuclear translocator like,0.99444,0.51,0.885
316,408,ARRB1,arrestin beta 1,0.99394,0.588,0.846
317,409,ARRB2,arrestin beta 2,0.50658,0.561,0.769
318,410,ARSA,arylsulfatase A,1.0893e-11,0.448,0.923
320,412,STS,steroid sulfatase,0.80886,0.431,0.846
323,415,ARSL,arylsulfatase L,0.58982,0.663,0.654
328,421,ARVCF,ARVCF delta catenin family member,5.0422e-11,0.54,0.769
331,427,ASAH1,N-acylsphingosine amidohydrolase 1,1.2588e-12,0.526,0.808
332,429,ASCL1,achaete-scute family bHLH transcription factor 1,0.67692,0.552,0.692
333,430,ASCL2,achaete-scute family bHLH transcription factor 2,0.34557,0.691,0.423
338,435,ASL,argininosuccinate lyase,8.5727e-10,0.593,0.731
